lastname,firstname,DC.title,DC.date,year,volume,DC.identifier
Heyse,Paul,Maria Francisca,1858,1858,,Paul_Heyse_-_Maria_Francisca_(1858)
Heyse,Paul,Anfang und Ende,1857,1857,,Paul_Heyse_-_Anfang_und_Ende_(1857)
Mügge,Theodor,Der Vogt von Sylt,1851,1851,,Theodor_Mügge_-_Der_Vogt_von_Sylt_(1851)
Hackländer,FW,Eugen Stillfried,1852,1852,Erster Band,FW_Hackländer_-_Eugen_Stillfried_-_Erster_Band_(1852)
von Schmid,Christoph,Das Rotkehlchen,1854,1854,,Christoph_von_Schmid_-_Das_Rotkehlchen_(1854)
Riehl,Wilhelm Heinrich,Gräfin Ursula,1856,1856,,Wilhelm_Heinrich_Riehl_-_Gräfin_Ursula_(1856)
Retcliffe,Sir John,Nena Sahib,1858,1858,,Sir_John_Retcliffe_-_Nena_Sahib_(1858)
von Scheffel,Joseph Victor,Ekkehard,1855,1855,,Joseph_Victor_von_Scheffel_-_Ekkehard_(1855)
Storm,Theodor,Hinzelmeier,1855,1855,,Theodor_Storm_-_Hinzelmeier_(1855)
Gerstäcker,Friedrich,Die Flucht über die Kordilleren,1859,1859,,Friedrich_Gerstäcker_-_Die_Flucht_über_die_Kordilleren_(1859)
Hackländer,FW,Namenlose Geschichten,1851,1851,Erster Band,FW_Hackländer_-_Namenlose_Geschichten_-_Erster_Band_(1851)
Riehl,Wilhelm Heinrich,Die Lehrjahre eines Humanisten,1856,1856,,Wilhelm_Heinrich_Riehl_-_Die_Lehrjahre_eines_Humanisten_(1856)
Galen,Philipp,Der Strandvogt von Jasmund,1859,1859,Zweiter Band,Philipp_Galen_-_Der_Strandvogt_von_Jasmund_-_Zweiter_Band_(1859)
Ludwig,Otto,Zwischen Himmel und Erde,1856,1856,,Otto_Ludwig_-_Zwischen_Himmel_und_Erde_(1856)
Gotthelf,Jeremias,Der Besenbinder von Rychiswyl,1852,1852,,Jeremias_Gotthelf_-_Der_Besenbinder_von_Rychiswyl_(1852)
Scherr,Johannes,Michel,1858,1858,,Johannes_Scherr_-_Michel_(1858)
Kurz,Hermann,Der Weihnachtsfund,1856,1856,,Hermann_Kurz_-_Der_Weihnachtsfund_(1856)
Keller,Gottfried,"Spiegel, das Kätzchen",1856,1856,,"Gottfried_Keller_-_Spiegel,_das_Kätzchen_(1856)"
Nathusius,Marie,Elisabeth. I. Band,1858,1858,,Marie_Nathusius_-_Elisabeth._I._Band_(1858)
Stifter,Adalbert,Bunte Steine,1853,1853,,Adalbert_Stifter_-_Bunte_Steine_(1853)
Gerstäcker,Friedrich,John Wells,1859,1859,,Friedrich_Gerstäcker_-_John_Wells_(1859)
Hoefer,Edmund,Die alte Erlaucht,1857,1857,,Edmund_Hoefer_-_Die_alte_Erlaucht_(1857)
Gutzkow,Karl,Der Zauberer von Rom. I. Buch,1858,1858,,Karl_Gutzkow_-_Der_Zauberer_von_Rom._I._Buch_(1858)
Gotthelf,Jeremias,Der Oberamtmann und der Amtsrichter,1853,1853,,Jeremias_Gotthelf_-_Der_Oberamtmann_und_der_Amtsrichter_(1853)
Gerstäcker,Friedrich,Tahiti,1854,1854,,Friedrich_Gerstäcker_-_Tahiti_(1854)
Keller,Gottfried,Die drei gerechten Kammacher,1856,1856,,Gottfried_Keller_-_Die_drei_gerechten_Kammacher_(1856)
zu Neueck,JJA Pffyfer,O ma patrie!,1853,1853,,JJA_Pffyfer_zu_Neueck_-_O_ma_patrie!_(1853)
Gutzkow,Karl,Der Zauberer von Rom. IV. Buch,1858,1858,,Karl_Gutzkow_-_Der_Zauberer_von_Rom._IV._Buch_(1858)
Kopisch,August,Ein Carnevalsfest auf Ischia,1856,1856,,August_Kopisch_-_Ein_Carnevalsfest_auf_Ischia_(1856)
Hartmann,Moritz,Der Krieg um den Wald,1850,1850,1,Moritz_Hartmann_-_Der_Krieg_um_den_Wald_-_1_(1850)
Willkomm,Ernst,Erzählungen eines Wattenschiffers,1854,1854,,Ernst_Willkomm_-_Erzählungen_eines_Wattenschiffers_(1854)
Gerstäcker,Friedrich,Herrn Mahlhuber's Reiseabenteuer,1857,1857,,Friedrich_Gerstäcker_-_Herrn_Mahlhuber's_Reiseabenteuer_(1857)
Gerstäcker,Friedrich,Das alte Haus,1857,1857,,Friedrich_Gerstäcker_-_Das_alte_Haus_(1857)
Schücking,Levin,Die Marketenderin von Köln,1861,1861,,Levin_Schücking_-_Die_Marketenderin_von_Köln_(1861)
Reuter,Fritz,Montecchi un Capuletti oder De Reis' nah Konstantinopel,1868,1868,,Fritz_Reuter_-_Montecchi_un_Capuletti_oder_De_Reis'_nah_Konstantinopel_(1868)
Hebbel,Friedrich,Eine Nacht im Jägerhause,1863,1863,,Friedrich_Hebbel_-_Eine_Nacht_im_Jägerhause_(1863)
Spielhagen,Friedrich,Die Dorfcoquette,1868,1868,,Friedrich_Spielhagen_-_Die_Dorfcoquette_(1868)
Auerbach,Berthold,Auf der Höhe Band I,1865,1865,,Berthold_Auerbach_-_Auf_der_Höhe_Band_I_(1865)
Pocci,Franz,Lustiges Komödienbüchlein,1861,1861,,Franz_Pocci_-_Lustiges_Komödienbüchlein_(1861)
Gerstäcker,Friedrich,Alle jagen John Mulligan,1860,1860,,Friedrich_Gerstäcker_-_Alle_jagen_John_Mulligan_(1860)
Storm,Theodor,In St Jürgen,1867,1867,,Theodor_Storm_-_In_St_Jürgen_(1867)
Reuter,Fritz,Dörchläuchting,1866,1866,,Fritz_Reuter_-_Dörchläuchting_(1866)
Marlitt,Eugenie,Thüringer Erzählungen,1869,1869,,Eugenie_Marlitt_-_Thüringer_Erzählungen_(1869)
Retcliffe,Sir John,Magenta und Solferino,1864,1864,Band 1,Sir_John_Retcliffe_-_Magenta_und_Solferino_-_Band_1_(1864)
Hoefer,Edmund,Das Wyler Schlößchen,1865,1865,,Edmund_Hoefer_-_Das_Wyler_Schlößchen_(1865)
Spielhagen,Friedrich,Hammer und Amboß,1869,1869,,Friedrich_Spielhagen_-_Hammer_und_Amboß_(1869)
Wildermuth,Ottilie,Krieg und Frieden,1862,1862,,Ottilie_Wildermuth_-_Krieg_und_Frieden_(1862)
Freytag,Gustav,Die verlorene Handschrift,1864,1864,,Gustav_Freytag_-_Die_verlorene_Handschrift_(1864)
Schmidt,Maximilian,Glasmacherleut',1869,1869,,Maximilian_Schmidt_-_Glasmacherleut'_(1869)
Stifter,Adalbert,Nachkommenschaften,1864,1864,,Adalbert_Stifter_-_Nachkommenschaften_(1864)
Stifter,Adalbert,Witiko,1865,1865,,Adalbert_Stifter_-_Witiko_(1865)
Raabe,Wilhelm,Keltische Knochen,1864,1864,,Wilhelm_Raabe_-_Keltische_Knochen_(1864)
Retcliffe,Sir John,Magenta und Solferino,1864,1864,Band 3,Sir_John_Retcliffe_-_Magenta_und_Solferino_-_Band_3_(1864)
Busch,Wilhelm,Kurze Geschichten,1864,1864,,Wilhelm_Busch_-_Kurze_Geschichten_(1864)
Auerbach,Berthold,Das Landhaus am Rhein,1869,1869,Band I,Berthold_Auerbach_-_Das_Landhaus_am_Rhein_-_Band_I_(1869)
Raabe,Wilhelm,Gedelöcke,1866,1866,,Wilhelm_Raabe_-_Gedelöcke_(1866)
Kompert,Leopold,Gottes Annehmerin,1865,1865,,Leopold_Kompert_-_Gottes_Annehmerin_(1865)
Raabe,Wilhelm,Das letzte Recht,1862,1862,,Wilhelm_Raabe_-_Das_letzte_Recht_(1862)
Auerbach,Berthold,Auf der Höhe Dritter Band,1865,1865,,Berthold_Auerbach_-_Auf_der_Höhe_Dritter_Band_(1865)
Heyse,Paul,Unheilbar,1862,1862,,Paul_Heyse_-_Unheilbar_(1862)
Mörike,Eduard,Aus dem Gebiete der Seelenkunde,1861,1861,,Eduard_Mörike_-_Aus_dem_Gebiete_der_Seelenkunde_(1861)
Kompert,Leopold,Neue Geschichten aus dem Ghetto,1860,1860,,Leopold_Kompert_-_Neue_Geschichten_aus_dem_Ghetto_(1860)
Raabe,Wilhelm,Abu Telfan,1868,1868,,Wilhelm_Raabe_-_Abu_Telfan_(1868)
von Holtei,Karl,Der letzte Komödiant,1863,1863,Dritter Teil,Karl_von_Holtei_-_Der_letzte_Komödiant_-_Dritter_Teil_(1863)
Auerbach,Berthold,Auf der Höhe Vierter Band,1865,1865,,Berthold_Auerbach_-_Auf_der_Höhe_Vierter_Band_(1865)
Gerstäcker,Friedrich,In der Südsee,1860,1860,,Friedrich_Gerstäcker_-_In_der_Südsee_(1860)
Gerstäcker,Friedrich,Unter dem Äquator,1861,1861,,Friedrich_Gerstäcker_-_Unter_dem_Äquator_(1861)
Wildermuth,Ottilie,Der Peterli von Emmental,1862,1862,,Ottilie_Wildermuth_-_Der_Peterli_von_Emmental_(1862)
Raabe,Wilhelm,Die Gänse von Bützow,1866,1866,,Wilhelm_Raabe_-_Die_Gänse_von_Bützow_(1866)
Storm,Theodor,Auf der Universität,1863,1863,,Theodor_Storm_-_Auf_der_Universität_(1863)
Gerstäcker,Friedrich,General Franco,1865,1865,,Friedrich_Gerstäcker_-_General_Franco_(1865)
Wildermuth,Ottilie,Eine Königin,1862,1862,,Ottilie_Wildermuth_-_Eine_Königin_(1862)
Raabe,Wilhelm,Der Hungerpastor,1864,1864,,Wilhelm_Raabe_-_Der_Hungerpastor_(1864)
Marlitt,Eugenie,Die zwölf Apostel,1865,1865,,Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865)
Wildermuth,Ottilie,Frau Luna,1862,1862,,Ottilie_Wildermuth_-_Frau_Luna_(1862)
Gerstäcker,Friedrich,Im Busch,1864,1864,,Friedrich_Gerstäcker_-_Im_Busch_(1864)
Stern,Adolf,Vor Leyden,1866,1866,,Adolf_Stern_-_Vor_Leyden_(1866)
Auerbach,Berthold,Das Landhaus am Rhein,1869,1869,Band II,Berthold_Auerbach_-_Das_Landhaus_am_Rhein_-_Band_II_(1869)
Stifter,Adalbert,Der Kuss von Sentze,1866,1866,,Adalbert_Stifter_-_Der_Kuss_von_Sentze_(1866)
Halm,Friedrich,Die Freundinnen,1860,1860,,Friedrich_Halm_-_Die_Freundinnen_(1860)
Hartmann,Moritz,Das Schloß im Gebirge,1866,1866,,Moritz_Hartmann_-_Das_Schloß_im_Gebirge_(1866)
Strubberg),Armand (Friedrich,Saat und Ernte,1866,1866,,Armand_(Friedrich_Strubberg)_-_Saat_und_Ernte_(1866)
Hahn-Hahn,Ida,Peregrin,1864,1864,,Ida_Hahn-Hahn_-_Peregrin_(1864)
Scherr,Johannes,Werther-Graubart,1873,1873,,Johannes_Scherr_-_Werther-Graubart_(1873)
Storm,Theodor,Eekenhof,1879,1879,,Theodor_Storm_-_Eekenhof_(1879)
Möllhausen,Balduin,Westliche Fährten,1873,1873,,Balduin_Möllhausen_-_Westliche_Fährten_(1873)
Scherr,Johannes,Die Tochter der Luft,1874,1874,,Johannes_Scherr_-_Die_Tochter_der_Luft_(1874)
Schaumberger,Heinrich,Gesalzene Krapfen,1874,1874,,Heinrich_Schaumberger_-_Gesalzene_Krapfen_(1874)
Rosegger,Peter,Als Großvater freien ging,1874,1874,,Peter_Rosegger_-_Als_Großvater_freien_ging_(1874)
Freytag,Gustav,Die Ahnen,1872,1872,,Gustav_Freytag_-_Die_Ahnen_(1872)
Raabe,Wilhelm,Höxter und Corvey,1875,1875,,Wilhelm_Raabe_-_Höxter_und_Corvey_(1875)
Rosegger,Peter,Die schöne Lenerl,1874,1874,,Peter_Rosegger_-_Die_schöne_Lenerl_(1874)
Steub,Ludwig,Die falsche Mutter Gottes,1871,1871,,Ludwig_Steub_-_Die_falsche_Mutter_Gottes_(1871)
Spyri,Johanna,Wie Wiselis Weg gefunden wird,1878,1878,,Johanna_Spyri_-_Wie_Wiselis_Weg_gefunden_wird_(1878)
Raabe,Wilhelm,Wunnigel,1877,1877,,Wilhelm_Raabe_-_Wunnigel_(1877)
von Saar,Ferdinand,Marianne,1873,1873,,Ferdinand_von_Saar_-_Marianne_(1873)
Storm,Theodor,Carsten Curator,1878,1878,,Theodor_Storm_-_Carsten_Curator_(1878)
von Hillern,Wilhemine,Die Geier-Wally,1875,1875,,Wilhemine_von_Hillern_-_Die_Geier-Wally_(1875)
Steub,Ludwig,Benno und Kriemhilde,1879,1879,,Ludwig_Steub_-_Benno_und_Kriemhilde_(1879)
Raabe,Wilhelm,Meister Autor oder Die Geschichten vom versunkenen Garten,1874,1874,,Wilhelm_Raabe_-_Meister_Autor_oder_Die_Geschichten_vom_versunkenen_Garten_(1874)
Keller,Gottfried,Dietegen,1874,1874,,Gottfried_Keller_-_Dietegen_(1874)
von Saar,Ferdinand,Die Geigerin,1875,1875,,Ferdinand_von_Saar_-_Die_Geigerin_(1875)
Raabe,Wilhelm,Der Schüdderump,1870,1870,,Wilhelm_Raabe_-_Der_Schüdderump_(1870)
Hackländer,FW,Feuerwerker Wortmann und andere Soldatengeschichten,1877,1877,,FW_Hackländer_-_Feuerwerker_Wortmann_und_andere_Soldatengeschichten_(1877)
Rosegger,Peter,Der Pfarrersbub,1874,1874,,Peter_Rosegger_-_Der_Pfarrersbub_(1874)
Wörishöffer,Sophie,Robert des Schiffsjungen Fahrten und Abenteuer,1877,1877,,Sophie_Wörishöffer_-_Robert_des_Schiffsjungen_Fahrten_und_Abenteuer_(1877)
Vischer,Friedrich Theodor,Auch Einer,1879,1879,,Friedrich_Theodor_Vischer_-_Auch_Einer_(1879)
May,Karl,Ein Stücklein vom alten Dessauer,1875,1875,,Karl_May_-_Ein_Stücklein_vom_alten_Dessauer_(1875)
Keller,Gottfried,Kleider machen Leute,1874,1874,,Gottfried_Keller_-_Kleider_machen_Leute_(1874)
von Winterfeld,Adolf,Die vier Töchter des Rittmeister Schimmelmann,1873,1873,,Adolf_von_Winterfeld_-_Die_vier_Töchter_des_Rittmeister_Schimmelmann_(1873)
Kürnberger,Ferdinand,Wie ein prosaischer Mann ein poetisches Bräutchen gewinnt,1877,1877,,Ferdinand_Kürnberger_-_Wie_ein_prosaischer_Mann_ein_poetisches_Bräutchen_gewinnt_(1877)
Fontane,Theodor,Vor dem Sturm,1878,1878,,Theodor_Fontane_-_Vor_dem_Sturm_(1878)
Temme,Jodocus Donatus Hubertus,In einer Brautnacht,1873,1873,,Jodocus_Donatus_Hubertus_Temme_-_In_einer_Brautnacht_(1873)
Marlitt,Eugenie,Das Heideprinzeßchen,1872,1872,,Eugenie_Marlitt_-_Das_Heideprinzeßchen_(1872)
Lindau,Rudolf,Liquidiert,1877,1877,,Rudolf_Lindau_-_Liquidiert_(1877)
von François,Louise,Die letzte Reckenburgerin,1871,1871,,Louise_von_François_-_Die_letzte_Reckenburgerin_(1871)
Werner,E,Glück auf!,1874,1874,,E_Werner_-_Glück_auf!_(1874)
Raabe,Wilhelm,Eulenpfingsten,1874,1874,,Wilhelm_Raabe_-_Eulenpfingsten_(1874)
Raabe,Wilhelm,Zum wilden Mann,1873,1873,,Wilhelm_Raabe_-_Zum_wilden_Mann_(1873)
Hackländer,FW,Der letzte Bombardier,1870,1870,,FW_Hackländer_-_Der_letzte_Bombardier_(1870)
Storm,Theodor,Beim Vetter Christian,1874,1874,,Theodor_Storm_-_Beim_Vetter_Christian_(1874)
Hamerling,Robert,Aspasia,1875,1875,,Robert_Hamerling_-_Aspasia_(1875)
Auerbach,Berthold,Landolin von Reutershöfen,1878,1878,,Berthold_Auerbach_-_Landolin_von_Reutershöfen_(1878)
von Sacher-Masoch,Leopold,Der Capitulant,1875,1875,,Leopold_von_Sacher-Masoch_-_Der_Capitulant_(1875)
Storm,Theodor,Waldwinkel,1874,1874,,Theodor_Storm_-_Waldwinkel_(1874)
Rosegger,Peter,Die Wallfahrer,1874,1874,,Peter_Rosegger_-_Die_Wallfahrer_(1874)
Wildermuth,Ottilie,Die alte Freundin,1877,1877,,Ottilie_Wildermuth_-_Die_alte_Freundin_(1877)
May,Karl,Scepter und Hammer,1879,1879,,Karl_May_-_Scepter_und_Hammer_(1879)
Marlitt,Eugenie,Die zweite Frau,1874,1874,,Eugenie_Marlitt_-_Die_zweite_Frau_(1874)
Möllhausen,Balduin,Der Schatz von Quivira,1879,1879,,Balduin_Möllhausen_-_Der_Schatz_von_Quivira_(1879)
Wildermuth,Ottilie,Todte Treue,1877,1877,,Ottilie_Wildermuth_-_Todte_Treue_(1877)
Raabe,Wilhelm,Deutscher Adel,1878,1878,,Wilhelm_Raabe_-_Deutscher_Adel_(1878)
Meding,Oskar,Der Todesgruß der Legionen,1874,1874,,Oskar_Meding_-_Der_Todesgruß_der_Legionen_(1874)
Becker,August,Die Nonnensusel,1886,1886,,August_Becker_-_Die_Nonnensusel_(1886)
Keller,Gottfried,Das Sinngedicht,1881,1881,,Gottfried_Keller_-_Das_Sinngedicht_(1881)
Schmitthenner,Adolf,Der Handwerksbursche,1883,1883,,Adolf_Schmitthenner_-_Der_Handwerksbursche_(1883)
Schücking,Levin,Hart am Rande,1887,1887,,Levin_Schücking_-_Hart_am_Rande_(1887)
Fontane,Theodor,Schach von Wuthenow,1883,1883,,Theodor_Fontane_-_Schach_von_Wuthenow_(1883)
Steinhausen,Heinrich,Irmela,1881,1881,,Heinrich_Steinhausen_-_Irmela_(1881)
Meyer,Conrad Ferdinand,Das Leiden eines Knaben,1883,1883,,Conrad_Ferdinand_Meyer_-_Das_Leiden_eines_Knaben_(1883)
May,Karl,Der Weg zum Glück. Sechster Band,1886,1886,,Karl_May_-_Der_Weg_zum_Glück._Sechster_Band_(1886)
Fontane,Theodor,Irrungen Wirrungen,1888,1888,,Theodor_Fontane_-_Irrungen_Wirrungen_(1888)
Spyri,Johanna,"Heidi kann brauchen, was es gelernt hat",1881,1881,,"Johanna_Spyri_-_Heidi_kann_brauchen,_was_es_gelernt_hat_(1881)"
von Ebner-Eschenbach,Marie,Die schönsten Erzählungen,1889,1889,,Marie_von_Ebner-Eschenbach_-_Die_schönsten_Erzählungen_(1889)
Wörishöffer,Sophie,Onnen Visser,1885,1885,Der Schmugglersohn von Norderney,Sophie_Wörishöffer_-_Onnen_Visser_-_Der_Schmugglersohn_von_Norderney_(1885)
Voß,Richard,Die Sabinerin,1889,1889,,Richard_Voß_-_Die_Sabinerin_(1889)
Spyri,Johanna,Artur und Squirrel,1888,1888,,Johanna_Spyri_-_Artur_und_Squirrel_(1888)
Fontane,Theodor,Unterm Birnbaum,1885,1885,,Theodor_Fontane_-_Unterm_Birnbaum_(1885)
Böhlau,Helene,Der schöne Valentin,1886,1886,,Helene_Böhlau_-_Der_schöne_Valentin_(1886)
Wolff,Julius,Der Sülfmeister,1883,1883,,Julius_Wolff_-_Der_Sülfmeister_(1883)
Braun,Isabella,Gesammelte Erzählungen,1886,1886,,Isabella_Braun_-_Gesammelte_Erzählungen_(1886)
May,Karl,Die Juweleninsel,1880,1880,,Karl_May_-_Die_Juweleninsel_(1880)
Jensen,Wilhelm,Dietwald Werneken,1888,1888,,Wilhelm_Jensen_-_Dietwald_Werneken_(1888)
Meding,Oskar,Die Saxoborussen,1885,1885,,Oskar_Meding_-_Die_Saxoborussen_(1885)
von Ebner-Eschenbach,Marie,Der gute Mond,1886,1886,,Marie_von_Ebner-Eschenbach_-_Der_gute_Mond_(1886)
Raabe,Wilhelm,Pfisters Mühle,1884,1884,,Wilhelm_Raabe_-_Pfisters_Mühle_(1884)
Wichert,Ernst,Der Schaktarp,1881,1881,,Ernst_Wichert_-_Der_Schaktarp_(1881)
Voß,Richard,Felice Leste,1889,1889,,Richard_Voß_-_Felice_Leste_(1889)
von Glümer,Claire,Gesühnt,1882,1882,,Claire_von_Glümer_-_Gesühnt_(1882)
von Suttner,Bertha,Die Waffen nieder!,1889,1889,,Bertha_von_Suttner_-_Die_Waffen_nieder!_(1889)
Conrad,Michael Georg,Die bayrische Königstragödie im Bürgerhause,1886,1886,,Michael_Georg_Conrad_-_Die_bayrische_Königstragödie_im_Bürgerhause_(1886)
Wörishöffer,Sophie,Gerettet aus Sibirien,1885,1885,,Sophie_Wörishöffer_-_Gerettet_aus_Sibirien_(1885)
Jensen,Wilhelm,Die Pfeifer vom Dusenbach,1886,1886,,Wilhelm_Jensen_-_Die_Pfeifer_vom_Dusenbach_(1886)
von Ebner-Eschenbach,Marie,Er lasst die Hand küssen,1886,1886,,Marie_von_Ebner-Eschenbach_-_Er_lasst_die_Hand_küssen_(1886)
Wolff,Julius,Der Raubgraf,1884,1884,,Julius_Wolff_-_Der_Raubgraf_(1884)
Storm,Theodor,Der Schimmelreiter,1888,1888,,Theodor_Storm_-_Der_Schimmelreiter_(1888)
Spitteler,Carl,Ei Ole,1887,1887,,Carl_Spitteler_-_Ei_Ole_(1887)
Franzos,Karl Emil,Moschko von Parma,1880,1880,,Karl_Emil_Franzos_-_Moschko_von_Parma_(1880)
Keller,Gottfried,Martin Salander,1886,1886,,Gottfried_Keller_-_Martin_Salander_(1886)
Raabe,Wilhelm,Das Odfeld,1889,1889,,Wilhelm_Raabe_-_Das_Odfeld_(1889)
Wichert,Ernst,Ewe,1880,1880,,Ernst_Wichert_-_Ewe_(1880)
Schmidt,Maximilian,Die Schwanjungfrau,1885,1885,,Maximilian_Schmidt_-_Die_Schwanjungfrau_(1885)
Ganghofer,Ludwig,Die Rittersleut,1880,1880,,Ludwig_Ganghofer_-_Die_Rittersleut_(1880)
Ebers,Georg,Die Schwestern,1880,1880,,Georg_Ebers_-_Die_Schwestern_(1880)
May,Karl,Lopez Jordan,1889,1889,,Karl_May_-_Lopez_Jordan_(1889)
Heyse,Paul,Spielmannslegende,1883,1883,,Paul_Heyse_-_Spielmannslegende_(1883)
Schmidt,Maximilian,'s Almstummerl,1888,1888,,Maximilian_Schmidt_-_'s_Almstummerl_(1888)
May,Karl,Der Weg zum Glück. Zweiter Band,1886,1886,,Karl_May_-_Der_Weg_zum_Glück._Zweiter_Band_(1886)
Augusti,Brigitte,Mädchenlose,1882,1882,,Brigitte_Augusti_-_Mädchenlose_(1882)
der Decken,Auguste von,Brausejahre,1885,1885,,Auguste_von_der_Decken_-_Brausejahre_(1885)
Ganghofer,Ludwig,Die Mühle am Fundensee,1880,1880,,Ludwig_Ganghofer_-_Die_Mühle_am_Fundensee_(1880)
Meyer,Conrad Ferdinand,Plautus im Nonnenkloster,1882,1882,,Conrad_Ferdinand_Meyer_-_Plautus_im_Nonnenkloster_(1882)
Ganghofer,Ludwig,Die Brautfahrt des Damian Zagg,1880,1880,,Ludwig_Ganghofer_-_Die_Brautfahrt_des_Damian_Zagg_(1880)
Schubin,Ossip,Toter Frühling,1893,1893,,Ossip_Schubin_-_Toter_Frühling_(1893)
Eyth,Max,Hinter Pflug und Schraubstock,1899,1899,,Max_Eyth_-_Hinter_Pflug_und_Schraubstock_(1899)
Panizza,Oskar,Das Wirtshaus zur Dreifaltigkeit,1893,1893,,Oskar_Panizza_-_Das_Wirtshaus_zur_Dreifaltigkeit_(1893)
Schnitzler,Arthur,Der Witwer,1894,1894,,Arthur_Schnitzler_-_Der_Witwer_(1894)
Mauthner,Fritz,Böhmische Novellen,1897,1897,,Fritz_Mauthner_-_Böhmische_Novellen_(1897)
Meier,Emerenz,Der Brechelbrei,1897,1897,,Emerenz_Meier_-_Der_Brechelbrei_(1897)
Seidel,Heinrich,Leberecht Hühnchen als Großvater,1890,1890,,Heinrich_Seidel_-_Leberecht_Hühnchen_als_Großvater_(1890)
von Saar,Ferdinand,Tambi,1897,1897,,Ferdinand_von_Saar_-_Tambi_(1897)
Panizza,Oskar,Indianer-Gedanken,1893,1893,,Oskar_Panizza_-_Indianer-Gedanken_(1893)
Panizza,Oskar,Der Korsetten-Fritz,1893,1893,,Oskar_Panizza_-_Der_Korsetten-Fritz_(1893)
Schmidt,Maximilian,Humor (erste Reihe),1899,1899,,Maximilian_Schmidt_-_Humor_(erste_Reihe)_(1899)
Seidel,Heinrich,Das alte Haus,1899,1899,,Heinrich_Seidel_-_Das_alte_Haus_(1899)
von Wolzogen,Ernst,"Die Erbschleicherinnen, Band 1",1895,1895,,"Ernst_von_Wolzogen_-_Die_Erbschleicherinnen,_Band_1_(1895)"
Spielhagen,Friedrich,Susi,1895,1895,,Friedrich_Spielhagen_-_Susi_(1895)
von Hofmannsthal,Hugo,Gerechtigkeit,1893,1893,,Hugo_von_Hofmannsthal_-_Gerechtigkeit_(1893)
von Wolzogen,Ernst,Der Thronfolger,1892,1892,Erster Band,Ernst_von_Wolzogen_-_Der_Thronfolger_-_Erster_Band_(1892)
Rosegger,Peter,Die Abelsberger Chronik,1898,1898,,Peter_Rosegger_-_Die_Abelsberger_Chronik_(1898)
Eckstein,Ernst,Preisgekrönt,1899,1899,,Ernst_Eckstein_-_Preisgekrönt_(1899)
Voß,Richard,Villa Falconieri,1896,1896,,Richard_Voß_-_Villa_Falconieri_(1896)
von Eschstruth,Nataly,Jung gefreit,1897,1897,1,Nataly_von_Eschstruth_-_Jung_gefreit_-_1_(1897)
Hollaender,Felix,Sturmwind im Westen,1896,1896,,Felix_Hollaender_-_Sturmwind_im_Westen_(1896)
Kraft,Robert,Die Vestalinnen,1895,1895,Band 5,Robert_Kraft_-_Die_Vestalinnen_-_Band_5_(1895)
Fischer,Wilhelm,Das Licht im Elendhause,1898,1898,,Wilhelm_Fischer_-_Das_Licht_im_Elendhause_(1898)
Lindau,Rudolf,Schweigen,1895,1895,,Rudolf_Lindau_-_Schweigen_(1895)
Dahn,Felix,Vom Chiemgau,1896,1896,,Felix_Dahn_-_Vom_Chiemgau_(1896)
Fischer,Wilhelm,Wastel,1898,1898,,Wilhelm_Fischer_-_Wastel_(1898)
Pastor,Willy,Der Tod des Judas,1895,1895,,Willy_Pastor_-_Der_Tod_des_Judas_(1895)
Pajeken,Friedrich J,Bob der Fallensteller,1890,1890,,Friedrich_J_Pajeken_-_Bob_der_Fallensteller_(1890)
May,Karl,Der Schatz im Silbersee,1890,1890,,Karl_May_-_Der_Schatz_im_Silbersee_(1890)
Panizza,Oskar,Die Menschenfabrik,1890,1890,,Oskar_Panizza_-_Die_Menschenfabrik_(1890)
Ganghofer,Ludwig,Schloß Hubertus,1895,1895,,Ludwig_Ganghofer_-_Schloß_Hubertus_(1895)
Panizza,Oskar,Der operierte Jud',1893,1893,,Oskar_Panizza_-_Der_operierte_Jud'_(1893)
Bierbaum,Otto Julius,Die Schlangendame,1896,1896,,Otto_Julius_Bierbaum_-_Die_Schlangendame_(1896)
Conrad,Michael Georg,Anna-Mia,1895,1895,,Michael_Georg_Conrad_-_Anna-Mia_(1895)
Hansjakob,Heinrich,Afra,1897,1897,,Heinrich_Hansjakob_-_Afra_(1897)
Spitteler,Carl,"Friedli, der Kolderi",1891,1891,,"Carl_Spitteler_-_Friedli,_der_Kolderi_(1891)"
Spyri,Johanna,Schloss Wildenstein,1892,1892,,Johanna_Spyri_-_Schloss_Wildenstein_(1892)
Schnitzler,Arthur,Amerika,1895,1895,,Arthur_Schnitzler_-_Amerika_(1895)
Schnitzler,Arthur,Der Andere,1895,1895,,Arthur_Schnitzler_-_Der_Andere_(1895)
Bierbaum,Otto Julius,Die falsche Kindbetterin,1893,1893,,Otto_Julius_Bierbaum_-_Die_falsche_Kindbetterin_(1893)
von Eschstruth,Nataly,Jung gefreit,1897,1897,2,Nataly_von_Eschstruth_-_Jung_gefreit_-_2_(1897)
Panizza,Oskar,Der Goldregen,1893,1893,,Oskar_Panizza_-_Der_Goldregen_(1893)
Riehl,Wilhelm Heinrich,Durch tausend Jahre – Zweiter Band,1897,1897,,Wilhelm_Heinrich_Riehl_-_Durch_tausend_Jahre_–_Zweiter_Band_(1897)
von Hofmannsthal,Hugo,Das Dorf im Gebirge,1896,1896,,Hugo_von_Hofmannsthal_-_Das_Dorf_im_Gebirge_(1896)
