lastname,firstname,title,year,volume,ID
Bindschedler,Ida,Die Leuenhofer,1919,,Ida_Bindschedler_-_Die_Leuenhofer_(1919)
Fontane,Theodor,Quitt,1891,,Theodor_Fontane_-_Quitt_(1891)
Federer,Heinrich,Unser Nachtwächter Prometheus,1911,,Heinrich_Federer_-_Unser_Nachtwächter_Prometheus_(1911)
Berend,Alice,Frau Hempels Tochter,1912,,Alice_Berend_-_Frau_Hempels_Tochter_(1912)
von Hofmannsthal,Hugo,Reitergeschichte,1899,,Hugo_von_Hofmannsthal_-_Reitergeschichte_(1899)
von Liliencron,Detlev,Die Dithmarschen,1906,,Detlev_von_Liliencron_-_Die_Dithmarschen_(1906)
Mörike,Eduard,Mozart auf der Reise nach Prag,1856,,Eduard_Mörike_-_Mozart_auf_der_Reise_nach_Prag_(1856)
Ernst,Paul,Komödianten- und Spitzbubengeschichten,1920,,Paul_Ernst_-_Komödianten-_und_Spitzbubengeschichten_(1920)
von Eichendorff,Joseph,Aus dem Leben eines Taugenichts,1826,,Joseph_von_Eichendorff_-_Aus_dem_Leben_eines_Taugenichts_(1826)
Ringelnatz,Joachim,liner Roma,1924,,Joachim_Ringelnatz_-_liner_Roma_(1924)
Seidel,Heinrich,Leberecht Hühnchen als Großvater,1890,,Heinrich_Seidel_-_Leberecht_Hühnchen_als_Großvater_(1890)
von Perfall,Anton,Klippen,1892,,Anton_von_Perfall_-_Klippen_(1892)
Kröger,Timm,Des Lebens Wegzölle,1906,,Timm_Kröger_-_Des_Lebens_Wegzölle_(1906)
Voß,Richard,Alpentragödie,1909,,Richard_Voß_-_Alpentragödie_(1909)
der Jüngere,Johann Rudolf Wyß,Viel Noth und viel Hülf,1825,,Johann_Rudolf_Wyß_der_Jüngere_-_Viel_Noth_und_viel_Hülf_(1825)
Langewiesche,Wilhelm,Wolfs Geschichten um ein Bürgerhaus -- Erstes Buch: Im Schatten,1919,,Wilhelm_Langewiesche_-_Wolfs_Geschichten_um_ein_Bürgerhaus_--_Erstes_Buch:_Im_Schatten_(1919)
Dauthendey,Max,Raubmenschen,1911,,Max_Dauthendey_-_Raubmenschen_(1911)
Rie,Therese,Das Tier im Walde,1925,,Therese_Rie_-_Das_Tier_im_Walde_(1925)
Franz,Agnes,Seltene Freundschaft oder: Bello und Miezchen,1843,,Agnes_Franz_-_Seltene_Freundschaft_oder:_Bello_und_Miezchen_(1843)
Georgy,Ernst,Aus den Memoiren einer Berliner Range,1899,,Ernst_Georgy_-_Aus_den_Memoiren_einer_Berliner_Range_(1899)
Klabund,,Katharina,1928,,Klabund_-_Katharina_(1928)
von Chamisso,Adelbert,Peter Schlemihls wundersame Geschichte,1813,,Adelbert_von_Chamisso_-_Peter_Schlemihls_wundersame_Geschichte_(1813)
der Velde,Carl Franz van,Das Liebhaber-Theater,1824,,Carl_Franz_van_der_Velde_-_Das_Liebhaber-Theater_(1824)
von Heyking,Elisabeth,Ille mihi – Zweiter Band,1912,,Elisabeth_von_Heyking_-_Ille_mihi_–_Zweiter_Band_(1912)
von Polenz,Wilhelm,Luginsland,1901,,Wilhelm_von_Polenz_-_Luginsland_(1901)
von Keyserling,Eduard,Fräulein Rosa Herz,1887,,Eduard_von_Keyserling_-_Fräulein_Rosa_Herz_(1887)
Heimburg,Wilhelmine,Alte Liebe und anderes,1906,,Wilhelmine_Heimburg_-_Alte_Liebe_und_anderes_(1906)
Roth,Joseph,Die Rebellion,1924,,Joseph_Roth_-_Die_Rebellion_(1924)
Löns,Hermann,Der zweckmäßige Meyer und andere Geschichten,1911,,Hermann_Löns_-_Der_zweckmäßige_Meyer_und_andere_Geschichten_(1911)
Blüthgen,Victor,Mama kommt!,1906,,Victor_Blüthgen_-_Mama_kommt!_(1906)
Stifter,Adalbert,Der beschriebene Tännling,1846,,Adalbert_Stifter_-_Der_beschriebene_Tännling_(1846)
von Lauff,Joseph,Elisabeth Wandscherer die Königin,1931,,Joseph_von_Lauff_-_Elisabeth_Wandscherer_die_Königin_(1931)
von Heyking,Elisabeth,Aus dem Land der Ostseeritter,1918,,Elisabeth_von_Heyking_-_Aus_dem_Land_der_Ostseeritter_(1918)
Edel,Edmund,Der Skandal im Viktoria-Klub,1919,,Edmund_Edel_-_Der_Skandal_im_Viktoria-Klub_(1919)
Lenz,Jakob Michael Reinhold,"Der Waldbruder, ein Pendant zu Werthers Leiden",1776,,"Jakob_Michael_Reinhold_Lenz_-_Der_Waldbruder,_ein_Pendant_zu_Werthers_Leiden_(1776)"
Roth,Joseph,Der stumme Prophet,1929,,Joseph_Roth_-_Der_stumme_Prophet_(1929)
May,Karl,Die Abenteuer des schwarzen Gerard 2,1901,,Karl_May_-_Die_Abenteuer_des_schwarzen_Gerard_2_(1901)
Tieck,Ludwig,Almansur,1790,,Ludwig_Tieck_-_Almansur_(1790)
Zschokke,Heinrich,Der Pascha von Buda,1819,,Heinrich_Zschokke_-_Der_Pascha_von_Buda_(1819)
Raabe,Wilhelm,Meister Autor oder Die Geschichten vom versunkenen Garten,1874,,Wilhelm_Raabe_-_Meister_Autor_oder_Die_Geschichten_vom_versunkenen_Garten_(1874)
Clauren,H.,Der selige Papier-Müller,1820,,H._Clauren_-_Der_selige_Papier-Müller_(1820)
Alexis,Willibald,Der Werwolf 2,1848,,Willibald_Alexis_-_Der_Werwolf_2_(1848)
Möllhausen,Balduin,Westliche Fährten,1873,,Balduin_Möllhausen_-_Westliche_Fährten_(1873)
von Kleist,Heinrich,Das Bettelweib von Locarno,1811,,Heinrich_von_Kleist_-_Das_Bettelweib_von_Locarno_(1811)
Hebel,Johann Peter,Zwei Sprichwörter,1811,,Johann_Peter_Hebel_-_Zwei_Sprichwörter_(1811)
Stüber-Gunther,Fritz,Das Durchhaus,1905,,Fritz_Stüber-Gunther_-_Das_Durchhaus_(1905)
Bettauer,Hugo,Hemmungslos,1920,,Hugo_Bettauer_-_Hemmungslos_(1920)
Bierbaum,Otto Julius,Letzte Musterung,1893,,Otto_Julius_Bierbaum_-_Letzte_Musterung_(1893)
von Suttner,Bertha,Langeweile,1895,,Bertha_von_Suttner_-_Langeweile_(1895)
Voß,Richard,Die Mutter der Catonen,1889,,Richard_Voß_-_Die_Mutter_der_Catonen_(1889)
May,Karl,Und Friede auf Erden!,1901,,Karl_May_-_Und_Friede_auf_Erden!_(1901)
Boy-Ed,Ida,Die Opferschale,1916,,Ida_Boy-Ed_-_Die_Opferschale_(1916)
Halm,Friedrich,Die Marzipan-Lise,1871,,Friedrich_Halm_-_Die_Marzipan-Lise_(1871)
Heiberg,Hermann,Isabel,1896,,Hermann_Heiberg_-_Isabel_(1896)
Sternheim,Carl,Napoleon,1915,,Carl_Sternheim_-_Napoleon_(1915)
Heyse,Paul,Das Glück von Rothenburg,1881,,Paul_Heyse_-_Das_Glück_von_Rothenburg_(1881)
Raabe,Wilhelm,Die Akten des Vogelsangs,1896,,Wilhelm_Raabe_-_Die_Akten_des_Vogelsangs_(1896)
Hegner,Ulrich,Die Molkenkur,1812,,Ulrich_Hegner_-_Die_Molkenkur_(1812)
Lienhard,Friedrich,Von Weibes Wonne und Wert,1921,,Friedrich_Lienhard_-_Von_Weibes_Wonne_und_Wert_(1921)
Fontane,Theodor,Der Stechlin,1899,,Theodor_Fontane_-_Der_Stechlin_(1899)
Stratz,Rudolph,Unter den Linden,1893,,Rudolph_Stratz_-_Unter_den_Linden_(1893)
Däubler,Theodor,Die Göttin mit der Fackel,1931,,Theodor_Däubler_-_Die_Göttin_mit_der_Fackel_(1931)
Gotthelf,Jeremias,Der Oberamtmann und der Amtsrichter,1853,,Jeremias_Gotthelf_-_Der_Oberamtmann_und_der_Amtsrichter_(1853)
Reuter,Gabriele,Der Amerikaner,1907,,Gabriele_Reuter_-_Der_Amerikaner_(1907)
Marti,Hugo,Das Kirchlein zu den sieben Wundern,1922,,Hugo_Marti_-_Das_Kirchlein_zu_den_sieben_Wundern_(1922)
Aram,Kurt,An den Ufern des Araxes,1928,,Kurt_Aram_-_An_den_Ufern_des_Araxes_(1928)
von Arnim,Achim,Holländische Liebhabereien,1826,,Achim_von_Arnim_-_Holländische_Liebhabereien_(1826)
Böhlau,Helene,Kristine,1929,,Helene_Böhlau_-_Kristine_(1929)
zu Reventlow,Fanny,Ellen Olestjerne,1903,,Fanny_zu_Reventlow_-_Ellen_Olestjerne_(1903)
Ganghofer,Ludwig,Die Mühle am Fundensee,1880,,Ludwig_Ganghofer_-_Die_Mühle_am_Fundensee_(1880)
von Dincklage,Friedrich,Anker geschlippt,1896,,Friedrich_von_Dincklage_-_Anker_geschlippt_(1896)
Kafka,Franz,Josefine die Sängerin oder Das Volk der Mäuse,1924,,Franz_Kafka_-_Josefine_die_Sängerin_oder_Das_Volk_der_Mäuse_(1924)
Ebers,Georg,Im Schmiedefeuer,1894,,Georg_Ebers_-_Im_Schmiedefeuer_(1894)
Boy-Ed,Ida,Empor!,1892,,Ida_Boy-Ed_-_Empor!_(1892)
Marti,Hugo,Ein Jahresring,1925,,Hugo_Marti_-_Ein_Jahresring_(1925)
Raabe,Wilhelm,Ein Besuch,1884,,Wilhelm_Raabe_-_Ein_Besuch_(1884)
Spyri,Johanna,"Vom This, der doch etwas wird",1886,,"Johanna_Spyri_-_Vom_This,_der_doch_etwas_wird_(1886)"
Rosegger,Peter,Die Sennerin und ihre Freunde,1890,,Peter_Rosegger_-_Die_Sennerin_und_ihre_Freunde_(1890)
Dauthendey,Max,Josa Gerth,1893,,Max_Dauthendey_-_Josa_Gerth_(1893)
Frey,Jakob,Die Waise von Holligen,1863,,Jakob_Frey_-_Die_Waise_von_Holligen_(1863)
Harich,Walther,Ursula schwebt vorüber,1939,,Walther_Harich_-_Ursula_schwebt_vorüber_(1939)
Freytag,Gustav,Soll und Haben,1855,,Gustav_Freytag_-_Soll_und_Haben_(1855)
Reuter,Gabriele,Frauenseelen,1901,,Gabriele_Reuter_-_Frauenseelen_(1901)
Stifter,Adalbert,Wirkungen eines weißen Mantels,1848,Der arme Wohltäter - Der Pförtner,Adalbert_Stifter_-_Wirkungen_eines_weißen_Mantels_-_Der_arme_Wohltäter_-_Der_Pförtner_(1848)
Storm,Theodor,Der Spiegel des Cyprianus,1866,,Theodor_Storm_-_Der_Spiegel_des_Cyprianus_(1866)
Reuter,Fritz,Ut de Franzosentid,1859,,Fritz_Reuter_-_Ut_de_Franzosentid_(1859)
von Suttner,Bertha,Eva Siebeck,1892,,Bertha_von_Suttner_-_Eva_Siebeck_(1892)
Raabe,Wilhelm,Christoph Pechlin,1873,,Wilhelm_Raabe_-_Christoph_Pechlin_(1873)
Kraft,Robert,Detektiv Nobody's Erlebnisse und Reiseabenteuer. 2. Band,1904,,Robert_Kraft_-_Detektiv_Nobody's_Erlebnisse_und_Reiseabenteuer._2._Band_(1904)
von Lauff,Joseph,Die Tragikomödie im Hause der Gebrüder Spier,1924,,Joseph_von_Lauff_-_Die_Tragikomödie_im_Hause_der_Gebrüder_Spier_(1924)
Hoffmann,ETA,Die Irrungen,1820,Verloren und Gefunden,ETA_Hoffmann_-_Die_Irrungen_-_Verloren_und_Gefunden_(1820)
Thoma,Ludwig,Krawall,1907,,Ludwig_Thoma_-_Krawall_(1907)
Raabe,Wilhelm,Fabian und Sebastian,1882,,Wilhelm_Raabe_-_Fabian_und_Sebastian_(1882)
Treller,Franz,Verwehte Spuren,1900,,Franz_Treller_-_Verwehte_Spuren_(1900)
David,Jakob Julius,Die Hanna,1904,,Jakob_Julius_David_-_Die_Hanna_(1904)
Serner,Walter,Zum blauen Affen,1920,,Walter_Serner_-_Zum_blauen_Affen_(1920)
Kafka,Franz,Prometheus,1918,,Franz_Kafka_-_Prometheus_(1918)
Freytag,Gustav,Marcus König,1876,,Gustav_Freytag_-_Marcus_König_(1876)
Stoltze,Adolf,Unseres lieben Herrgotts Kostgänger,1908,,Adolf_Stoltze_-_Unseres_lieben_Herrgotts_Kostgänger_(1908)
Rosegger,Peter,Jakob der Letzte,1889,,Peter_Rosegger_-_Jakob_der_Letzte_(1889)
Heimann,Moritz,Dr. Wislizenus,1921,,Moritz_Heimann_-_Dr._Wislizenus_(1921)
Telmann,Konrad,An der Engelsbucht,1897,,Konrad_Telmann_-_An_der_Engelsbucht_(1897)
von Keyserling,Eduard,Die dritte Stiege,1892,,Eduard_von_Keyserling_-_Die_dritte_Stiege_(1892)
Schmitz,Hermann Harry,Der Aesthet,1909,,Hermann_Harry_Schmitz_-_Der_Aesthet_(1909)
Boy-Ed,Ida,Um ein Weib,1920,,Ida_Boy-Ed_-_Um_ein_Weib_(1920)
Holm,Korfiz,Herz ist Trumpf,1918,,Korfiz_Holm_-_Herz_ist_Trumpf_(1918)
Dohm,Hedwig,"Werde, die Du bist",1894,,"Hedwig_Dohm_-_Werde,_die_Du_bist_(1894)"
Stifter,Adalbert,Prokopus,1847,,Adalbert_Stifter_-_Prokopus_(1847)
Rosegger,Peter,Der Herrensepp,1897,,Peter_Rosegger_-_Der_Herrensepp_(1897)
Weiß,Ernst,Die Galeere,1913,,Ernst_Weiß_-_Die_Galeere_(1913)
Siebe,Josephine,Kasperle ist wieder da,1928,,Josephine_Siebe_-_Kasperle_ist_wieder_da_(1928)
Schmidt,Maximilian,Glasmacherleut',1869,,Maximilian_Schmidt_-_Glasmacherleut'_(1869)
Schreckenbach,Paul,Die von Wintzingerode,1930,,Paul_Schreckenbach_-_Die_von_Wintzingerode_(1930)
Seidel,Willy,Der Buschhahn,1921,,Willy_Seidel_-_Der_Buschhahn_(1921)
Hansjakob,Heinrich,"Theodor, der Seifensieder",1897,,"Heinrich_Hansjakob_-_Theodor,_der_Seifensieder_(1897)"
Saphir,Moritz Gottlieb,Album geselliger Thorheiten,1858,,Moritz_Gottlieb_Saphir_-_Album_geselliger_Thorheiten_(1858)
Wieland,Christoph Martin,Peregrinus Proteus,1791,,Christoph_Martin_Wieland_-_Peregrinus_Proteus_(1791)
Schnitzler,Arthur,Die dreifache Warnung,1911,,Arthur_Schnitzler_-_Die_dreifache_Warnung_(1911)
Freytag,Gustav,Aus dem Staat Friedrichs des Großen,1895,Die Erhebung,Gustav_Freytag_-_Aus_dem_Staat_Friedrichs_des_Großen_-_Die_Erhebung_(1895)
Kafka,Franz,Forschungen eines Hundes,1922,,Franz_Kafka_-_Forschungen_eines_Hundes_(1922)
Siebe,Josephine,Kasperls Abenteuer in der Stadt,1923,,Josephine_Siebe_-_Kasperls_Abenteuer_in_der_Stadt_(1923)
Meier,Emerenz,Der Juhschroa,1897,,Emerenz_Meier_-_Der_Juhschroa_(1897)
Mörike,Eduard,Lucie Gelmeroth,1834,,Eduard_Mörike_-_Lucie_Gelmeroth_(1834)
Hoffmann,ETA,Das steinerne Herz,1817,,ETA_Hoffmann_-_Das_steinerne_Herz_(1817)
Gutzkow,Karl,Die Nihilisten,1853,,Karl_Gutzkow_-_Die_Nihilisten_(1853)
Schnitzler,Arthur,Traumnovelle,1926,,Arthur_Schnitzler_-_Traumnovelle_(1926)
Clauren,H.,Die Gränz-Kommission,1825,,H._Clauren_-_Die_Gränz-Kommission_(1825)
Blumenreich,Paul,Die höchste Instanz,1904,,Paul_Blumenreich_-_Die_höchste_Instanz_(1904)
Musil,Robert,Nachlaß zu Lebzeiten,1936,,Robert_Musil_-_Nachlaß_zu_Lebzeiten_(1936)
von Taura,Elfrid,Erzgebirgische Geschichten. Erster Band,1860,,Elfrid_von_Taura_-_Erzgebirgische_Geschichten._Erster_Band_(1860)
Barthel,Max,Aufstieg der Begabten,1929,,Max_Barthel_-_Aufstieg_der_Begabten_(1929)
von Eichendorff,Joseph,Eine Meerfahrt,1835,,Joseph_von_Eichendorff_-_Eine_Meerfahrt_(1835)
Seitz,Robert,"Die Liebe, alt wie die Welt",1936,,"Robert_Seitz_-_Die_Liebe,_alt_wie_die_Welt_(1936)"
Schirokauer,Alfred,Der Tanz auf der Weltkugel,1927,,Alfred_Schirokauer_-_Der_Tanz_auf_der_Weltkugel_(1927)
Zapp,Arthur,Das Liebesleben eines deutschen Jünglings,1920,,Arthur_Zapp_-_Das_Liebesleben_eines_deutschen_Jünglings_(1920)
Müller,Johann Gottwerth,Siegfried von Lindenberg,1779,,Johann_Gottwerth_Müller_-_Siegfried_von_Lindenberg_(1779)
von Scheffel,Joseph Victor,Ekkehard,1855,,Joseph_Victor_von_Scheffel_-_Ekkehard_(1855)
Musil,Robert,Der Mann ohne Eigenschaften,1930,,Robert_Musil_-_Der_Mann_ohne_Eigenschaften_(1930)
Böhlau,Helene,Die leichtsinnige Eheliebste,1925,,Helene_Böhlau_-_Die_leichtsinnige_Eheliebste_(1925)
Schiller,Friedrich,Merkwürdiges Beispiel einer weiblichen Rache,1785,,Friedrich_Schiller_-_Merkwürdiges_Beispiel_einer_weiblichen_Rache_(1785)
Seidl,Walter,Romeo im Fegefeuer,1932,,Walter_Seidl_-_Romeo_im_Fegefeuer_(1932)
Kafka,Franz,Die Brücke,1917,,Franz_Kafka_-_Die_Brücke_(1917)
Hollaender,Felix,Die Briefe des Fräulein Brandt,1918,,Felix_Hollaender_-_Die_Briefe_des_Fräulein_Brandt_(1918)
Keller,Paul,Hubertus,1916,,Paul_Keller_-_Hubertus_(1916)
Federer,Heinrich,Umbrische Reisegeschichtlein,1917,,Heinrich_Federer_-_Umbrische_Reisegeschichtlein_(1917)
Raabe,Wilhelm,Der Marsch nach Hause,1870,,Wilhelm_Raabe_-_Der_Marsch_nach_Hause_(1870)
Wolff,Julius,Der Raubgraf,1884,,Julius_Wolff_-_Der_Raubgraf_(1884)
Blüthgen,Clara,Götzendienst,1930,,Clara_Blüthgen_-_Götzendienst_(1930)
Wildermuth,Ottilie,Das Bäumlein im Walde,1862,,Ottilie_Wildermuth_-_Das_Bäumlein_im_Walde_(1862)
Seidel,Heinrich,Das Weihnachtsland,1885,,Heinrich_Seidel_-_Das_Weihnachtsland_(1885)
Heiberg,Hermann,Vornehme Menschen,1896,,Hermann_Heiberg_-_Vornehme_Menschen_(1896)
Schiller,Friedrich,Spiel des Schicksals,1789,,Friedrich_Schiller_-_Spiel_des_Schicksals_(1789)
Gerstäcker,Friedrich,Jack und Bill,1858,,Friedrich_Gerstäcker_-_Jack_und_Bill_(1858)
von Wildenbruch,Ernst,Die Landpartie,1883,,Ernst_von_Wildenbruch_-_Die_Landpartie_(1883)
Schirokauer,Alfred,Alarm,1930,,Alfred_Schirokauer_-_Alarm_(1930)
Laube,Heinrich,Die Maske,1837,,Heinrich_Laube_-_Die_Maske_(1837)
Storm,Theodor,Die Regentrude,1866,,Theodor_Storm_-_Die_Regentrude_(1866)
von Hofmannsthal,Hugo,Das Glück am Weg,1893,,Hugo_von_Hofmannsthal_-_Das_Glück_am_Weg_(1893)
Tieck,Ludwig,Das Fest zu Kenelworth,1828,,Ludwig_Tieck_-_Das_Fest_zu_Kenelworth_(1828)
Kompert,Leopold,Der Dorfgeher,1851,,Leopold_Kompert_-_Der_Dorfgeher_(1851)
Hartmann,Moritz,Das Schloß im Gebirge,1866,,Moritz_Hartmann_-_Das_Schloß_im_Gebirge_(1866)
Heyse,Paul,Im Grafenschloß,1861,,Paul_Heyse_-_Im_Grafenschloß_(1861)
Cremer,Wilhelm,Die Entdeckung des Erdballs,1924,,Wilhelm_Cremer_-_Die_Entdeckung_des_Erdballs_(1924)
Keller,Paul,Der Sohn der Hagar,1907,,Paul_Keller_-_Der_Sohn_der_Hagar_(1907)
Storm,Theodor,Waldwinkel,1874,,Theodor_Storm_-_Waldwinkel_(1874)
Fuchs-Liska,Robert,Um ein blondes Frauenhaar,1937,,Robert_Fuchs-Liska_-_Um_ein_blondes_Frauenhaar_(1937)
Schmitz,Hermann Harry,Circulus vitiosus,1913,,Hermann_Harry_Schmitz_-_Circulus_vitiosus_(1913)
Bleibtreu,Karl,Bismarck – Band 1,1915,,Karl_Bleibtreu_-_Bismarck_–_Band_1_(1915)
Harder,Agnes,Schlumski,1916,,Agnes_Harder_-_Schlumski_(1916)
May,Karl,Deutsche Herzen,1885,Deutsche Helden. 3. Der Fürst der Bleichgesic,Karl_May_-_Deutsche_Herzen_-_Deutsche_Helden._3._Der_Fürst_der_Bleichgesic_(1885)
Hausrath,Adolf,Jetta,1884,,Adolf_Hausrath_-_Jetta_(1884)
Auerbach,Berthold,Auf der Höhe Band I,1865,,Berthold_Auerbach_-_Auf_der_Höhe_Band_I_(1865)
Wichert,Ernst,Das Grundstück,1891,,Ernst_Wichert_-_Das_Grundstück_(1891)
Meyrink,Gustav,Wie Dr. Hiob Paupersum seiner Tochter rote Rosen schenkte,1913,,Gustav_Meyrink_-_Wie_Dr._Hiob_Paupersum_seiner_Tochter_rote_Rosen_schenkte_(1913)
von Eschstruth,Nataly,Jung gefreit,1897,1,Nataly_von_Eschstruth_-_Jung_gefreit_-_1_(1897)
Hauptmann,Carl,Mathilde,1902,,Carl_Hauptmann_-_Mathilde_(1902)
Eyth,Max,Mönch und Landsknecht,1882,,Max_Eyth_-_Mönch_und_Landsknecht_(1882)
Keller,Gottfried,Das Sinngedicht,1881,,Gottfried_Keller_-_Das_Sinngedicht_(1881)
Heyse,Paul,L'Arrabbiata,1853,,Paul_Heyse_-_L'Arrabbiata_(1853)
Reuter,Gabriele,Das Tränenhaus,1908,,Gabriele_Reuter_-_Das_Tränenhaus_(1908)
Keller,Paul,Sieh dich für!,1928,,Paul_Keller_-_Sieh_dich_für!_(1928)
Dose,Johannes,Ein alter Afrikaner,1913,,Johannes_Dose_-_Ein_alter_Afrikaner_(1913)
Hoffmann,ETA,Das Majorat,1817,,ETA_Hoffmann_-_Das_Majorat_(1817)
Tieck,Ludwig,Die Gesellschaft auf dem Lande,1825,,Ludwig_Tieck_-_Die_Gesellschaft_auf_dem_Lande_(1825)
Gotthelf,Jeremias,Die Wassernot im Emmental,1838,,Jeremias_Gotthelf_-_Die_Wassernot_im_Emmental_(1838)
Gutzkow,Karl,Der Zauberer von Rom. III. Buch,1858,,Karl_Gutzkow_-_Der_Zauberer_von_Rom._III._Buch_(1858)
von Ebner-Eschenbach,Marie,Die arme Kleine,1903,,Marie_von_Ebner-Eschenbach_-_Die_arme_Kleine_(1903)
von Saar,Ferdinand,Herr Fridolin und sein Glück,1897,,Ferdinand_von_Saar_-_Herr_Fridolin_und_sein_Glück_(1897)
Gutzkow,Karl,Der Zauberer von Rom. IV. Buch,1858,,Karl_Gutzkow_-_Der_Zauberer_von_Rom._IV._Buch_(1858)
Skowronnek,Richard,Das bißchen Erde,1913,,Richard_Skowronnek_-_Das_bißchen_Erde_(1913)
Bierbaum,Otto Julius,Sinaïde,1904,,Otto_Julius_Bierbaum_-_Sinaïde_(1904)
Stifter,Adalbert,Das alte Siegel,1844,,Adalbert_Stifter_-_Das_alte_Siegel_(1844)
Federer,Heinrich,Der gestohlene König von Belgien,1911,,Heinrich_Federer_-_Der_gestohlene_König_von_Belgien_(1911)
Körner,Theodor,Woldemar,1805,,Theodor_Körner_-_Woldemar_(1805)
von Keyserling,Eduard,Seine Liebeserfahrung,1906,,Eduard_von_Keyserling_-_Seine_Liebeserfahrung_(1906)
Mauthner,Fritz,Ein Abend im Irrenhause,1914,,Fritz_Mauthner_-_Ein_Abend_im_Irrenhause_(1914)
Christ,Lena,Madam Bäuerin,1919,,Lena_Christ_-_Madam_Bäuerin_(1919)
Temme,Jodocus Donatus Hubertus,Die Hallbauerin,1858,,Jodocus_Donatus_Hubertus_Temme_-_Die_Hallbauerin_(1858)
Eyth,Max,Die ersten Tanzschuhe,1904,,Max_Eyth_-_Die_ersten_Tanzschuhe_(1904)
Kröger,Timm,Leute eigener Art,1905,,Timm_Kröger_-_Leute_eigener_Art_(1905)
Meyer,Conrad Ferdinand,Die Richterin,1885,,Conrad_Ferdinand_Meyer_-_Die_Richterin_(1885)
Spyri,Johanna,"Und wer nur Gott zum Freunde hat, dem hilft er immer wieder",1882,,"Johanna_Spyri_-_Und_wer_nur_Gott_zum_Freunde_hat,_dem_hilft_er_immer_wieder_(1882)"
Stratz,Rudolph,Arme Thea!,1896,,Rudolph_Stratz_-_Arme_Thea!_(1896)
Franken,Renate,Und wenn sich unsere Wege kreuzen,1961,,Renate_Franken_-_Und_wenn_sich_unsere_Wege_kreuzen_(1961)
Tieck,Ludwig,Weihnacht-Abend,1835,,Ludwig_Tieck_-_Weihnacht-Abend_(1835)
Gotthelf,Jeremias,Leiden und Freuden eines Schulmeisters,1838,,Jeremias_Gotthelf_-_Leiden_und_Freuden_eines_Schulmeisters_(1838)
Kretzer,Max,Der Mann ohne Gewissen,1904,,Max_Kretzer_-_Der_Mann_ohne_Gewissen_(1904)
Gerstäcker,Friedrich,Der Erbe,1867,,Friedrich_Gerstäcker_-_Der_Erbe_(1867)
Ganghofer,Ludwig,Die Brautfahrt des Damian Zagg,1880,,Ludwig_Ganghofer_-_Die_Brautfahrt_des_Damian_Zagg_(1880)
Berend,Alice,Bruders Bekenntnis,1922,,Alice_Berend_-_Bruders_Bekenntnis_(1922)
Engel,Georg,Die Last,1898,,Georg_Engel_-_Die_Last_(1898)
von Goethe,Johann Wolfgang,Wilhelm Meisters theatralische Sendung,1785,,Johann_Wolfgang_von_Goethe_-_Wilhelm_Meisters_theatralische_Sendung_(1785)
zu Reventlow,Fanny,Von Paul zu Pedro,1912,,Fanny_zu_Reventlow_-_Von_Paul_zu_Pedro_(1912)
Galen,Philipp,Der Strandvogt von Jasmund,1859,,Philipp_Galen_-_Der_Strandvogt_von_Jasmund_(1859)
Fock,Gorch,Hein Godenwind de Admirol von Moskitonien,1911,,Gorch_Fock_-_Hein_Godenwind_de_Admirol_von_Moskitonien_(1911)
Kafka,Franz,Ein altes Blatt,1916,,Franz_Kafka_-_Ein_altes_Blatt_(1916)
Mackay,John Henry,Der Unschuldige,1933,,John_Henry_Mackay_-_Der_Unschuldige_(1933)
Heine,Heinrich,Der Rabbi von Bacherach,1840,,Heinrich_Heine_-_Der_Rabbi_von_Bacherach_(1840)
Stifter,Adalbert,Bergkristall,1853,,Adalbert_Stifter_-_Bergkristall_(1853)
Stifter,Adalbert,Der Nachsommer,1857,,Adalbert_Stifter_-_Der_Nachsommer_(1857)
Stifter,Adalbert,Der Hagestolz,1845,,Adalbert_Stifter_-_Der_Hagestolz_(1845)
Seidel,Heinrich,Fliegender Sommer,1873,,Heinrich_Seidel_-_Fliegender_Sommer_(1873)
Binding,Rudolf G,Die Geige,1911,,Rudolf_G_Binding_-_Die_Geige_(1911)
Eyth,Max,Mönch und Landsknecht,1904,,Max_Eyth_-_Mönch_und_Landsknecht_(1904)
zu Reventlow,Fanny,Ultimo,1897,,Fanny_zu_Reventlow_-_Ultimo_(1897)
Sealsfield,Charles,Das Kajütenbuch oder Nationale Charakteristiken,1843,,Charles_Sealsfield_-_Das_Kajütenbuch_oder_Nationale_Charakteristiken_(1843)
Trinius,August,Wenn die Sonne sinkt,1905,,August_Trinius_-_Wenn_die_Sonne_sinkt_(1905)
Scheerbart,Paul,Das große Licht,1912,,Paul_Scheerbart_-_Das_große_Licht_(1912)
zu Reventlow,Fanny,Herrn Dames Aufzeichnungen,1913,,Fanny_zu_Reventlow_-_Herrn_Dames_Aufzeichnungen_(1913)
Schnitzler,Arthur,Das Schicksal des Freiherrn von Leisenbohg,1904,,Arthur_Schnitzler_-_Das_Schicksal_des_Freiherrn_von_Leisenbohg_(1904)
Weisflog,Carl,Bürgerliche Historien,1828,,Carl_Weisflog_-_Bürgerliche_Historien_(1828)
Heiberg,Hermann,Apotheker Heinrich,1885,,Hermann_Heiberg_-_Apotheker_Heinrich_(1885)
Spindler,Carl,Der Jesuit,1829,,Carl_Spindler_-_Der_Jesuit_(1829)
Thoma,Ludwig,Der Bader,1921,,Ludwig_Thoma_-_Der_Bader_(1921)
